Site Name,num_of_dates,date_range,time_period,,Latitude,Longitude
Actun Halal,14,5380 to 1720 BP,1,X,17.13314,-88.86583333
Actun Tunichil Muknal,2,1202 to 1191 BP,"5, 6",X,17.76388889,-88.34694444
Actun Uayazba Kab,8,2075 to 1200 BP,,,16.9537,-89.0627
Actuncan,13,2985 to 865 BP,,,17.10277778,-89.13333333
Altun Ha,1,1544,,,17.75277778,-89.33333333
Aventura,4,1450 to 680 BP,,,18.31944444,-88.43333333
Baking Pot,12,1805 to 565 BP,,,17.20538278,-89.02001337
Barton Ramie,4,4155 to 3200 BP,1,,17.2222132,-88.97115195
Blackman Eddy,17,2990 to 2190 BP,,,17.50277778,-88.91944444
Buenavista del Cayo,18,1740 to 160 BP,,,17.14772228,-89.11833742
Cahal Pech,116,8195 to 1175 BP,,,17.08836384,-89.0817809
Caledonia,2,1680 to 1520 BP,,,18.22586,-88.52234
Caye Coco,4,1160 to 700 BP,,,17.0862,-88.0393
Cerros,23,2300 to 90 BP,,,18.33342144,-88.358373
Chaa Creek,2,1365 to 1285 BP,,,17.1067,-89.0806
Chabil Eke Ukal,1,585,,,16.3718,-88.5428
Chabil Ukal,1,880,,,16.3721,-88.5436
Chan,31,2540 to 1150 BP,,,,
Chan Cahal,6,1536 to 1217 BP,,,,
Chan Chen,3,1865 to 1770 BP,,,17.5615844,-89.0922285
Chechem Ha Cave,37,3755 to 1187 BP,,,17.02611111,-89.06472222
Colha,21,4532 to 2310 BP,,,17.95277778,-88.36944444
Cuello,90,5140 to 1110 BP,,,18.06944444,-88.60277778
Ek Xux,11,1619 to 148 BP,,,16.4758,-88.8382
Hats Kaab,3,2206 to 1949 BP,,,17.255,-88.7379
Ix Kukuil,16,2065 to 995 BP,,,16.1517,-88.8177
Kabil Sakunak,1,1504,,,,
Ka'Kabish,7,2554 to 2393 BP,,,17.81611,-88.72972
Ka ru Ha,4,2780 to 1309 BP,,,18.0817,-88.5459
K'axob,25,2609 to 2010 BP,,,17.195,-88.6566
Kayuko Naj Tunich,9,1750 to 1340 BP,,,16.3215,-89.1953
Ladyville,2,3610,,,17.55277778,-88.11944444
Laguna de On,10,1280 to 360 BP,,,18.03333333,-88.43333333
Lamanai,34,1770 to 760 BP,,,17.74678641,-88.6643664
Lower Barton Creek,6,2465 to 3290 BP,,,17.50277778,-88.95277778
Mayahak Cab Pek,34,8565 to 1785 BP,,,16.49111111,-88.91027778
Mohibal Kanchi,1,1855 BP,,,16.4718,-88.8379
San Estevan,4,3750 to 2565 BP,,,18.1498,-88.5139
Santa Rita Corozal,17,3530 to 330 BP,,,18.4023,-88.393
Uxbenka,116,1960 to 1220 BP,,,16.24587133,-89.09946848
Xunantunich,13,4410 to 1095 BP,,,17.1100009,-89.14553636
